country,item,year,other_use_to_domestic_qty_ratio
Yemen,Cephalopods,2019,0.9625668449197861
Democratic Republic of the Congo,Coffee and products,2019,0.9166666666666666
Madagascar,Palm Oil,2019,0.7589285714285714
Haiti,Palm Oil,2019,0.7484276729559748
Madagascar,"Spices, Other",2019,0.3333333333333333
Yemen,Palm Oil,2019,0.1783783783783784
Yemen,Sugar (Raw Equivalent),2019,0.12776412776412777
Democratic People's Republic of Korea,Maize and products,2019,0.11258278145695365
Madagascar,"Fruits, other",2019,0.020710059171597635
Madagascar,Maize and products,2019,0.008928571428571428
Haiti,Maize and products,2019,0.006430868167202572
Central African Republic,Palm Oil,2019,0.0
Madagascar,Demersal Fish,2019,0.0
Madagascar,Wheat and products,2019,0.0
Madagascar,Potatoes and products,2019,0.0
Madagascar,"Marine Fish, Other",2019,0.0
Madagascar,Pelagic Fish,2019,0.0
Haiti,Crustaceans,2019,0.0
Madagascar,Crustaceans,2019,0.0
Madagascar,Cephalopods,2019,0.0
Madagascar,"Molluscs, Other",2019,0.0
Yemen,Potatoes and products,2019,0.0
Yemen,Demersal Fish,2019,0.0
Yemen,Pelagic Fish,2019,0.0
Yemen,Crustaceans,2019,0.0
Haiti,"Molluscs, Other",2019,0.0
Haiti,Demersal Fish,2019,0.0
Haiti,"Marine Fish, Other",2019,0.0
Haiti,Pelagic Fish,2019,0.0
Central African Republic,Pelagic Fish,2019,0.0
Central African Republic,"Marine Fish, Other",2019,0.0
Central African Republic,Crustaceans,2019,0.0
Democratic People's Republic of Korea,Palm Oil,2019,0.0
Democratic People's Republic of Korea,Demersal Fish,2019,0.0
Democratic People's Republic of Korea,Pelagic Fish,2019,0.0
Democratic People's Republic of Korea,"Marine Fish, Other",2019,0.0
Democratic People's Republic of Korea,Crustaceans,2019,0.0
Democratic People's Republic of Korea,Cephalopods,2019,0.0
Democratic People's Republic of Korea,"Molluscs, Other",2019,0.0
Democratic Republic of the Congo,Palm Oil,2019,0.0
Democratic Republic of the Congo,Demersal Fish,2019,0.0
Democratic Republic of the Congo,Pelagic Fish,2019,0.0
Democratic Republic of the Congo,"Marine Fish, Other",2019,0.0
Democratic Republic of the Congo,Crustaceans,2019,0.0
Democratic Republic of the Congo,Cephalopods,2019,0.0
Democratic Republic of the Congo,"Molluscs, Other",2019,0.0
Haiti,Wheat and products,2019,0.0
Central African Republic,Demersal Fish,2019,0.0
Yemen,"Molluscs, Other",2019,0.0
